iter,f,g[0],g[1],f_x_ag,phi,alpha,Norm(g)
0,[30595],[-208],[-814],[8198759],[[-322335.]],1,840.1547476506933
1,[21732.44726562],[-22.875],[-520.625],[18186.38227463],[[19610.77807617]],1,521.1272937104715
2,[18186.38227463],[78.31640625],[-353.640625],[16368.13134368],[[17161.42015636]],1,362.20871212369485
3,[15013.22702391],[186.45776367],[-161.98388672],[13178.86528019],[[14060.01956782]],1,246.99246383246114
4,[8540.41807065],[196.36138916],[-36.71081543],[5423.52653785],[[6046.3256255]],1,199.76355804405094
5,[6514.14896487],[101.16863251],[-138.09333801],[4972.53488581],[[5598.37202091]],1,171.18662975504407
6,[4972.53488581],[141.5082407],[-41.35313988],[3797.71997187],[[4293.32662445]],1,147.4268101929111
7,[3797.71997187],[84.08044517],[-95.79289556],[2901.33669639],[[3290.03871878]],1,127.45901340807276
8,[2242.91188231],[122.66923204],[17.56867558],[1951.28260962],[[1283.13695412]],1,123.92093790394611
9,[1864.76945469],[77.74684369],[-39.41270867],[1636.1093417],[[1746.05174675]],1,87.16612477435454
10,[1055.43263742],[39.68235209],[-57.50120252],[657.10941576],[[750.36530252]],1,69.86470753134984
11,[803.31816455],[58.00678392],[-15.38646344],[611.35196356],[[690.77034461]],1,60.01275062966915
12,[611.35196356],[33.29239155],[-39.65847208],[464.97349598],[[527.5651591]],1,51.78009021781611
13,[464.97349598],[42.22850089],[-15.05467564],[353.23753769],[[402.16444765]],1,44.831791691858044
14,[269.26585612],[12.02488824],[-40.76073788],[222.50588555],[[156.38862553]],1,42.49747862514948
15,[224.01439649],[23.55238737],[-19.79460979],[195.5065721],[[209.22468512]],1,30.76591502950932
16,[122.84227914],[23.80381785],[-5.63666636],[72.1171015],[[85.44266965]],1,24.462088051217457
17,[91.46117999],[13.15393146],[-16.4436968],[67.55005828],[[77.60427132]],1,21.05756579663513
18,[67.55005828],[17.2654969],[-5.7545244],[49.30781142],[[57.19968534]],1,18.199228943177726
19,[35.98256258],[4.31541237],[-17.26645875],[30.45522143],[[16.18547623]],1,17.79756673145594
20,[28.21319638],[9.44176804],[-8.09320167],[23.55993833],[[25.79683861]],1,12.43571055220058
21,[11.7536539],[9.7793605],[-2.02284955],[3.68943618],[[5.52066565]],1,9.986381327066747
22,[6.62110534],[5.18439735],[-6.82880798],[2.71371279],[[4.32389927]],1,8.573831952816121
23,[2.71371279],[7.06575499],[-2.18109602],[-0.26538873],[[1.00489799]],1,7.394732818947744
24,[-0.26538873],[4.28548013],[-4.75404224],[-2.53923439],[[-1.54558428]],1,6.400488857665794
25,[-4.23998916],[6.05969333],[0.70284316],[-5.14723142],[[-6.56585615]],1,6.10031734795146
26,[-5.16889192],[3.90247298],[-2.00881881],[-5.74901016],[[-5.46990206]],1,4.389151212876848
27,[-7.22654058],[2.03760997],[-2.84048125],[-8.2542345],[[-7.99030233]],1,3.495738567075146
28,[-7.86534493],[2.89446468],[-0.81808717],[-8.35201633],[[-8.1480697]],1,3.007855112856983
29,[-8.35201633],[1.69898963],[-1.96632672],[-8.72326669],[[-8.56304778]],1,2.598654751080508
30,[-8.99289195],[2.52474266],[0.40100563],[-9.09683154],[[-9.40133764]],1,2.556390235560708
